node_u,node_v,label,common_neighbors,jaccard,adamic_adar,degree_u,degree_v,preferential_attachment,h_index_sum,h_index_diff,citations_sum,citations_diff,area_jaccard
55357477800,7101835153,1,5,0.06756756756756757,1.4161516561028962,37,42,1554,30,8,2122,1288,0.25806451612903225
55403844500,7101835153,1,6,0.04878048780487805,1.6892755079299064,87,42,3654,40,2,2845,565,0.2553191489361702
55410054500,7101835153,1,5,0.07462686567164178,2.187412907621213,30,42,1260,38,0,2834,576,0.2
57103819300,7101835153,1,5,0.10416666666666667,1.2760571580875075,11,42,462,24,14,1784,1626,0.09090909090909091
57191866398,7101835153,1,11,0.21153846153846154,3.15784135383965,21,42,882,27,11,1875,1535,0.2692307692307692
57195442657,7101835153,1,14,0.0660377358490566,3.882361349055073,184,42,7728,46,8,3865,455,0.28125
57211678716,7101835153,1,13,0.1780821917808219,3.607499025804516,44,42,1848,27,11,1884,1526,0.18181818181818182
57214112643,7101835153,1,11,0.23404255319148937,2.916751311090818,16,42,672,32,6,2313,1097,0.2222222222222222
57214551475,7101835153,1,3,0.05454545454545454,0.7815057287791722,16,42,672,22,16,1727,1683,0.36
57219277990,7101835153,1,6,0.1276595744680851,1.8234615037401989,11,42,462,21,17,1728,1682,0.22727272727272727
57219288899,7101835153,1,6,0.1276595744680851,1.8234615037401989,11,42,462,21,17,1726,1684,0.13636363636363635
57221908100,7101835153,1,4,0.07407407407407407,1.1196715754688435,16,42,672,23,15,1746,1664,0.125
59158249000,7101835153,1,11,0.22916666666666666,2.9244689474482977,17,42,714,22,16,1762,1648,0.11538461538461539
6504284862,7101835153,1,11,0.12359550561797752,3.031146525498564,58,42,2436,36,2,2465,945,0.225
6506420388,7101835153,1,4,0.03636363636363636,1.4480851632676035,72,42,3024,39,1,3040,370,0.23076923076923078
6508289866,7101835153,1,4,0.08,1.2794825568722354,12,42,504,32,6,2180,1230,0.17857142857142858
6601905996,7101835153,1,5,0.10869565217391304,2.0263073981030004,9,42,378,47,9,4888,1478,0.30357142857142855
6602808786,7101835153,1,4,0.04,1.439613290729399,62,42,2604,38,0,2744,666,0.14705882352941177
6603317232,7101835153,1,7,0.12962962962962962,2.17577820101183,19,42,798,36,2,2850,560,0.28205128205128205
7003544066,7101835153,1,15,0.23076923076923078,4.149216303714246,38,42,1596,50,12,5092,1682,0.2923076923076923
7003790688,7101835153,1,5,0.1,2.091555766165139,13,42,546,32,6,2668,742,0.22580645161290322
7004481112,7101835153,1,7,0.03954802259887006,2.0125977412861435,142,42,5964,54,16,6453,3043,0.24050632911392406
7004663022,7101835153,1,5,0.078125,2.17801393587414,27,42,1134,54,16,6293,2883,0.2222222222222222
7005969319,7101835153,1,13,0.09352517985611511,4.106518047926026,110,42,4620,49,11,4848,1438,0.3
7006466498,7101835153,1,2,0.014925373134328358,0.5428476127158072,94,42,3948,62,24,11501,8091,0.2073170731707317
